D:\IMG\center_2022_04_15_17_46_16_720.jpg,D:\IMG\left_2022_04_15_17_46_16_720.jpg,D:\IMG\right_2022_04_15_17_46_16_720.jpg,0,0,0,5.193308E-06
D:\IMG\center_2022_04_15_17_46_16_791.jpg,D:\IMG\left_2022_04_15_17_46_16_791.jpg,D:\IMG\right_2022_04_15_17_46_16_791.jpg,0,0,0,4.861091E-06
D:\IMG\center_2022_04_15_17_46_16_863.jpg,D:\IMG\left_2022_04_15_17_46_16_863.jpg,D:\IMG\right_2022_04_15_17_46_16_863.jpg,0,0,0,6.881751E-06
D:\IMG\center_2022_04_15_17_46_16_932.jpg,D:\IMG\left_2022_04_15_17_46_16_932.jpg,D:\IMG\right_2022_04_15_17_46_16_932.jpg,0,0,0,3.139829E-05
D:\IMG\center_2022_04_15_17_46_17_004.jpg,D:\IMG\left_2022_04_15_17_46_17_004.jpg,D:\IMG\right_2022_04_15_17_46_17_004.jpg,0,0,0,6.096745E-07
D:\IMG\center_2022_04_15_17_46_17_075.jpg,D:\IMG\left_2022_04_15_17_46_17_075.jpg,D:\IMG\right_2022_04_15_17_46_17_075.jpg,0,0,0,2.102365E-05
D:\IMG\center_2022_04_15_17_46_17_147.jpg,D:\IMG\left_2022_04_15_17_46_17_147.jpg,D:\IMG\right_2022_04_15_17_46_17_147.jpg,0,0,0,7.089224E-06
D:\IMG\center_2022_04_15_17_46_17_219.jpg,D:\IMG\left_2022_04_15_17_46_17_219.jpg,D:\IMG\right_2022_04_15_17_46_17_219.jpg,0,0,0,8.18588E-06
D:\IMG\center_2022_04_15_17_46_17_289.jpg,D:\IMG\left_2022_04_15_17_46_17_289.jpg,D:\IMG\right_2022_04_15_17_46_17_289.jpg,0,0,0,1.267854E-05
D:\IMG\center_2022_04_15_17_46_17_360.jpg,D:\IMG\left_2022_04_15_17_46_17_360.jpg,D:\IMG\right_2022_04_15_17_46_17_360.jpg,0,0,0,3.000437E-05
D:\IMG\center_2022_04_15_17_46_17_432.jpg,D:\IMG\left_2022_04_15_17_46_17_432.jpg,D:\IMG\right_2022_04_15_17_46_17_432.jpg,0,0,0,6.30049E-06
D:\IMG\center_2022_04_15_17_46_17_503.jpg,D:\IMG\left_2022_04_15_17_46_17_503.jpg,D:\IMG\right_2022_04_15_17_46_17_503.jpg,0,0,0,1.430472E-05
D:\IMG\center_2022_04_15_17_46_17_574.jpg,D:\IMG\left_2022_04_15_17_46_17_574.jpg,D:\IMG\right_2022_04_15_17_46_17_574.jpg,0,0,0,6.456502E-06
D:\IMG\center_2022_04_15_17_46_17_644.jpg,D:\IMG\left_2022_04_15_17_46_17_644.jpg,D:\IMG\right_2022_04_15_17_46_17_644.jpg,0,0,0,8.470922E-06
D:\IMG\center_2022_04_15_17_46_17_715.jpg,D:\IMG\left_2022_04_15_17_46_17_715.jpg,D:\IMG\right_2022_04_15_17_46_17_715.jpg,0,0,0,4.909855E-06
D:\IMG\center_2022_04_15_17_46_17_786.jpg,D:\IMG\left_2022_04_15_17_46_17_786.jpg,D:\IMG\right_2022_04_15_17_46_17_786.jpg,0,0,0,1.231538E-05
D:\IMG\center_2022_04_15_17_46_17_860.jpg,D:\IMG\left_2022_04_15_17_46_17_860.jpg,D:\IMG\right_2022_04_15_17_46_17_860.jpg,0,0.2191092,0,0.1468732
D:\IMG\center_2022_04_15_17_46_17_929.jpg,D:\IMG\left_2022_04_15_17_46_17_929.jpg,D:\IMG\right_2022_04_15_17_46_17_929.jpg,0,0.4296189,0,0.4230336
D:\IMG\center_2022_04_15_17_46_18_000.jpg,D:\IMG\left_2022_04_15_17_46_18_000.jpg,D:\IMG\right_2022_04_15_17_46_18_000.jpg,0,0.6396624,0,0.8102937
D:\IMG\center_2022_04_15_17_46_18_073.jpg,D:\IMG\left_2022_04_15_17_46_18_073.jpg,D:\IMG\right_2022_04_15_17_46_18_073.jpg,0,0.8563335,0,1.542549
